country,total_revenue,total_orders
United Kingdom,53138025.57,38401
EIRE,1993295.34,626
Netherlands,1662697.02,229
Germany,1293787.38,789
France,1070833.8,622
Australia,509904.33,95
Spain,327535.59,154
Switzerland,303033.87,93
Sweden,275711.16,105
Denmark,209586.57,43
Belgium,197260.26,149
Norway,180328.86,45
Portugal,174049.95,95
Japan,141415.17,33
Channel Islands,134990.28,55
Italy,97651.26,65
Finland,89776.62,57
Singapore,75951.18,11
Cyprus,74940.39,37
Hong Kong,71682.96,15
Austria,70839.03,45
Greece,57288.57,18
Israel,34003.98,10
United Arab Emirates,33292.89,16
Unspecified,32808.03,24
Poland,32707.35,28
USA,25100.58,20
Malta,24297.27,9
Lithuania,19661.22,6
Iceland,16899.96,8
Canada,14649.12,8
RSA,14412.96,4
Bahrain,9329.37,10
Thailand,9211.62,2
Lebanon,5716.74,2
Brazil,4235.61,2
European Community,3900.75,4
Bermuda,3759.42,1
Korea,3355.53,2
Czech Republic,2480.22,2
West Indies,1609.23,1
Saudi Arabia,437.76,1
Nigeria,421.17,2
