customer_id,last_purchase_date,frequency,monetary,recency,R_score,F_score,M_score,RFM_score,segment
12346,2011-01-18 10:01:00,12,232669.38,326,2,5,5,255,At Risk
12347,2011-12-07 15:52:00,8,16899.96,2,5,4,5,545,Champions
12348,2011-09-25 13:13:00,5,6058.2,75,3,4,4,344,Loyal Customers
12349,2011-11-21 09:51:00,4,13286.07,19,5,3,5,535,Loyal Customers
12350,2011-02-02 16:01:00,1,1003.2,310,2,1,2,212,Lost
12351,2010-11-29 15:23:00,1,902.79,375,2,1,2,212,Lost
12352,2011-11-03 14:37:00,10,8549.52,36,4,5,4,454,Champions
12353,2011-05-19 17:47:00,2,1220.28,204,2,2,2,222,Lost
12354,2011-04-21 13:11:00,1,3238.2,232,2,1,3,213,Lost
12355,2011-05-09 13:49:00,2,2842.83,214,2,2,3,223,Lost
12356,2011-11-17 08:40:00,6,19121.04,23,4,4,5,445,Champions
12357,2011-11-06 16:07:00,3,54862.98,33,4,3,5,435,Loyal Customers
12358,2011-12-08 10:26:00,5,11661.21,2,5,4,5,545,Champions
12359,2011-10-13 12:47:00,10,26807.82,58,4,5,5,455,Champions
12360,2011-10-18 15:22:00,8,12758.67,52,4,4,5,445,Champions
12361,2011-02-25 13:51:00,4,1533.75,287,2,3,2,232,Others
12362,2011-12-06 15:40:00,11,16068.69,3,5,5,5,555,Champions
12363,2011-08-22 10:18:00,2,1656.0,110,3,2,2,322,Others
12364,2011-12-02 10:22:00,4,3939.3,8,5,3,4,534,Loyal Customers
12365,2011-02-21 14:04:00,2,1924.14,291,2,2,3,223,Lost
12366,2010-03-16 10:28:00,1,1500.72,634,1,1,2,112,Lost
12367,2011-12-05 16:48:00,1,506.7,4,5,1,1,511,New Customers
12368,2010-03-21 15:56:00,1,2753.1,628,1,1,3,113,Lost
12369,2010-10-22 13:13:00,3,5373.45,413,1,3,4,134,At Risk
12370,2011-10-19 14:51:00,7,12960.93,51,4,4,5,445,Champions
12371,2011-10-26 10:16:00,5,12202.14,45,4,4,5,445,Champions
12372,2011-09-29 12:12:00,3,3894.12,72,3,3,4,334,Loyal Customers
12373,2011-02-01 13:10:00,3,3382.95,311,2,3,3,233,At Risk
12374,2011-11-14 15:37:00,4,8967.66,25,4,3,5,435,Loyal Customers
12375,2011-11-29 10:36:00,2,1372.5,11,5,2,2,522,New Customers
12376,2010-11-15 12:15:00,2,1509.45,390,2,2,2,222,Lost
12377,2011-01-28 15:45:00,4,10278.96,315,2,3,5,235,At Risk
12378,2011-08-02 10:34:00,2,16248.96,130,3,2,5,325,Others
12379,2011-09-19 10:09:00,4,4860.66,82,3,3,4,334,Loyal Customers
12380,2011-11-18 11:27:00,11,29028.9,22,4,5,5,455,Champions
12381,2011-12-05 12:44:00,5,5535.93,5,5,4,4,544,Champions
12383,2011-06-08 08:02:00,5,5551.68,185,3,4,4,344,Loyal Customers
12384,2011-11-11 08:39:00,2,1755.81,29,4,2,2,422,New Customers
12385,2010-11-25 15:14:00,1,5815.2,379,2,1,4,214,Lost
12386,2011-01-06 12:37:00,2,1982.4,338,2,2,3,223,Lost
12387,2010-10-20 16:27:00,1,431.82,415,1,1,1,111,Lost
12388,2011-11-24 12:30:00,8,11703.33,16,5,4,5,545,Champions
12389,2010-11-02 11:52:00,3,4299.99,403,2,3,4,234,At Risk
12390,2011-09-21 09:33:00,1,1649.52,80,3,1,2,312,Others
12391,2011-11-18 12:07:00,6,8320.26,22,4,4,4,444,Champions
12392,2010-04-27 14:04:00,1,704.25,591,1,1,1,111,Lost
12393,2011-09-28 15:41:00,6,7198.35,72,3,4,4,344,Loyal Customers
12394,2011-10-07 08:08:00,2,3817.44,64,3,2,4,324,Others
12395,2011-11-20 15:21:00,15,15201.81,19,5,5,5,555,Champions
12396,2010-02-03 13:22:00,1,2794.29,674,1,1,3,113,Lost
12397,2011-11-04 09:52:00,2,7229.7,36,4,2,4,424,New Customers
12398,2011-10-25 10:27:00,1,4906.98,46,4,1,4,414,New Customers
12399,2011-08-12 13:15:00,7,5886.9,119,3,4,4,344,Loyal Customers
12400,2010-10-21 13:45:00,1,615.75,414,1,1,1,111,Lost
12401,2011-02-09 13:50:00,1,252.9,303,2,1,1,211,Lost
12402,2011-01-20 13:49:00,6,3770.7,323,2,4,4,244,At Risk
12403,2011-10-21 10:51:00,2,3058.08,50,4,2,3,423,New Customers
12404,2010-01-26 16:25:00,1,189.72,682,1,1,1,111,Lost
12405,2011-07-14 08:52:00,1,5131.17,149,3,1,4,314,Others
12406,2011-11-17 19:22:00,5,19171.08,22,4,4,5,445,Champions
12407,2011-10-21 10:11:00,5,5124.36,50,4,4,4,444,Champions
12408,2011-11-07 12:27:00,8,13022.31,33,4,4,5,445,Champions
12409,2011-09-22 10:38:00,7,70257.87,79,3,4,5,345,Loyal Customers
12410,2011-02-04 10:39:00,3,3041.13,309,2,3,3,233,At Risk
12411,2010-10-26 09:25:00,1,1040.7,410,2,1,2,212,Lost
12412,2011-09-26 10:16:00,6,7790.79,75,3,4,4,344,Loyal Customers
12413,2011-10-04 09:00:00,4,2998.35,67,3,3,3,333,Loyal Customers
12414,2011-05-06 14:51:00,6,2857.23,217,2,4,3,243,At Risk
12415,2011-11-15 14:22:00,28,433375.11,24,4,5,5,455,Champions
12416,2010-02-21 10:19:00,1,607.68,657,1,1,1,111,Lost
12417,2011-12-06 14:52:00,20,20450.73,3,5,5,5,555,Champions
12418,2011-08-19 11:08:00,4,6063.6,113,3,3,4,334,Loyal Customers
12419,2010-11-19 10:04:00,2,1509.03,386,2,2,2,222,Lost
12420,2011-10-07 08:55:00,1,1801.17,64,3,1,2,312,Others
12421,2011-11-24 09:07:00,6,3295.8,16,5,4,3,543,Loyal Customers
12422,2011-09-05 09:48:00,17,15695.4,96,3,5,5,355,Loyal Customers
12423,2011-12-09 10:10:00,10,7867.17,1,5,5,4,554,Champions
12424,2011-06-30 12:06:00,4,10020.09,163,3,3,5,335,Loyal Customers
12425,2011-09-22 17:31:00,2,5224.23,78,3,2,4,324,Others
12426,2011-05-29 12:26:00,2,4035.63,195,2,2,4,224,Lost
12427,2011-11-18 08:56:00,3,3387.9,22,4,3,3,433,Loyal Customers
12428,2011-11-14 08:22:00,9,23869.38,26,4,5,5,455,Champions
12429,2011-11-30 17:22:00,8,22457.73,9,5,4,5,545,Champions
12430,2011-10-27 15:09:00,1,769.2,43,4,1,1,411,New Customers
12431,2011-11-04 11:55:00,27,32573.91,36,4,5,5,455,Champions
12432,2011-10-28 11:43:00,5,15177.96,43,4,4,5,445,Champions
12433,2011-12-09 10:02:00,10,61743.78,1,5,5,5,555,Champions
12434,2011-09-16 12:38:00,3,3310.29,85,3,3,3,333,Loyal Customers
12435,2011-09-21 09:06:00,6,41777.79,80,3,4,5,345,Loyal Customers
12436,2011-09-01 12:09:00,1,1527.03,100,3,1,2,312,Others
12437,2011-12-08 11:35:00,39,38050.2,2,5,5,5,555,Champions
12438,2011-11-25 13:28:00,2,8720.55,14,5,2,4,524,New Customers
12439,2010-01-26 12:11:00,2,3474.54,683,1,2,3,123,Lost
12440,2010-09-03 13:11:00,2,2577.6,462,1,2,3,123,Lost
12441,2010-12-08 10:45:00,1,1041.3,367,2,1,2,212,Lost
12442,2011-12-06 14:22:00,1,516.18,3,5,1,1,511,New Customers
12443,2009-12-07 15:42:00,1,1455.93,732,1,1,2,112,Lost
12444,2011-11-18 13:23:00,5,15016.38,21,4,4,5,445,Champions
12445,2011-11-17 18:43:00,2,1304.94,22,4,2,2,422,New Customers
12446,2011-10-13 12:50:00,1,3006.93,58,4,1,3,413,New Customers
12447,2011-04-10 13:25:00,1,1429.47,243,2,1,2,212,Lost
12448,2011-10-26 13:46:00,1,1348.35,44,4,1,2,412,New Customers
12449,2011-11-17 13:46:00,6,14507.67,22,4,4,5,445,Champions
12450,2011-07-06 14:41:00,5,2064.6,156,3,4,3,343,Loyal Customers
12451,2011-11-29 08:40:00,8,38009.64,11,5,4,5,545,Champions
12452,2011-11-23 10:28:00,2,1291.71,17,5,2,2,522,New Customers
12453,2011-07-28 14:08:00,1,2121.27,134,3,1,3,313,Others
12454,2011-10-14 17:13:00,5,50039.34,56,4,4,5,445,Champions
12455,2011-09-27 15:31:00,10,17639.85,73,3,5,5,355,Loyal Customers
12456,2011-10-26 14:41:00,3,9543.12,44,4,3,5,435,Loyal Customers
12457,2011-10-04 13:13:00,8,8987.73,66,3,4,5,345,Loyal Customers
12458,2011-09-29 15:25:00,4,5332.47,71,3,3,4,334,Loyal Customers
12459,2010-04-13 14:53:00,1,1363.08,605,1,1,2,112,Lost
12460,2010-09-09 13:51:00,1,979.95,456,1,1,2,112,Lost
12461,2011-09-06 16:57:00,2,2480.64,94,3,2,3,323,Others
12462,2011-11-21 09:11:00,2,3568.77,19,5,2,3,523,New Customers
12463,2011-10-17 13:44:00,4,4034.34,53,4,3,4,434,Loyal Customers
12464,2011-11-29 13:33:00,8,3636.15,10,5,4,3,543,Loyal Customers
12465,2011-11-22 16:34:00,2,2226.57,17,5,2,3,523,New Customers
12466,2010-01-26 16:26:00,1,170.19,682,1,1,1,111,Lost
12467,2010-10-12 15:41:00,1,398.4,423,1,1,1,111,Lost
12468,2011-06-05 11:36:00,5,11012.22,188,3,4,5,345,Loyal Customers
12469,2010-07-05 12:40:00,2,9211.62,523,1,2,5,125,Lost
12470,2010-01-19 11:01:00,1,635.85,690,1,1,1,111,Lost
12471,2011-12-07 15:43:00,79,119891.37,2,5,5,5,555,Champions
12472,2011-11-07 14:01:00,19,53641.77,32,4,5,5,455,Champions
12473,2011-11-10 13:46:00,5,11815.65,29,4,4,5,445,Champions
12474,2011-11-22 14:39:00,31,37273.35,17,5,5,5,555,Champions
12475,2011-10-17 10:10:00,2,3448.92,54,4,2,3,423,New Customers
12476,2011-11-24 12:40:00,23,42346.23,16,5,5,5,555,Champions
12477,2011-11-17 09:51:00,9,60829.11,23,4,5,5,455,Champions
12478,2011-12-06 09:56:00,1,2042.97,4,5,1,3,513,New Customers
12479,2011-11-28 13:26:00,1,1581.6,11,5,1,2,512,New Customers
12480,2011-11-11 14:52:00,7,16394.55,28,4,4,5,445,Champions
12481,2011-11-17 08:29:00,15,37084.17,23,4,5,5,455,Champions
12482,2010-05-12 16:51:00,29,71074.2,576,1,5,5,155,At Risk
12483,2011-11-22 17:02:00,19,15361.74,17,5,5,5,555,Champions
12484,2011-11-07 11:37:00,12,19110.45,33,4,5,5,455,Champions
12485,2010-06-28 15:22:00,1,2124.3,529,1,1,3,113,Lost
12486,2010-10-04 12:14:00,1,3111.84,432,1,1,3,113,Lost
12487,2009-12-09 11:36:00,1,855.9,731,1,1,1,111,Lost
12488,2011-11-30 08:50:00,3,3895.98,10,5,3,4,534,Loyal Customers
12489,2011-01-07 13:13:00,1,1004.79,336,2,1,2,212,Lost
12490,2011-12-04 16:07:00,21,29470.92,5,5,5,5,555,Champions
12491,2011-11-01 12:18:00,1,1381.2,39,4,1,2,412,New Customers
12492,2011-10-07 15:15:00,3,2145.63,63,3,3,3,333,Loyal Customers
12493,2011-06-27 10:17:00,2,1301.22,166,3,2,2,322,Others
12494,2011-11-24 09:34:00,9,5618.61,16,5,5,4,554,Champions
12495,2010-03-09 10:53:00,1,1072.2,641,1,1,2,112,Lost
12496,2010-03-29 14:06:00,2,162.27,620,1,2,1,121,Lost
12497,2011-09-19 12:29:00,3,18745.5,82,3,3,5,335,Loyal Customers
12498,2011-11-18 12:53:00,3,1211.1,21,4,3,2,432,Loyal Customers
12499,2010-05-28 15:12:00,1,1181.16,560,1,1,2,112,Lost
12500,2011-11-16 16:20:00,19,17865.63,23,4,5,5,455,Champions
12501,2011-01-07 12:28:00,1,6508.17,337,2,1,4,214,Lost
12502,2011-09-05 11:52:00,5,11171.61,96,3,4,5,345,Loyal Customers
12503,2010-05-04 13:59:00,1,3378.0,584,1,1,3,113,Lost
12504,2011-11-21 16:02:00,4,2337.15,18,5,3,3,533,Loyal Customers
12505,2010-10-27 09:18:00,1,2865.6,409,2,1,3,213,Lost
12506,2011-04-21 08:54:00,1,220.5,233,2,1,1,211,Lost
12507,2011-07-28 17:09:00,4,5532.18,134,3,3,4,334,Loyal Customers
12508,2011-11-13 15:37:00,2,1194.81,26,4,2,2,422,New Customers
12509,2011-02-28 14:45:00,1,529.5,284,2,1,1,211,Lost
12510,2011-07-20 10:15:00,9,15534.06,143,3,5,5,355,Loyal Customers
12511,2010-10-07 10:39:00,1,9252.06,429,1,1,5,115,Lost
12512,2011-10-04 14:55:00,2,414.09,66,3,2,1,321,Others
12513,2011-08-19 10:51:00,1,1836.87,113,3,1,2,312,Others
12514,2011-03-17 16:38:00,2,4793.28,267,2,2,4,224,Lost
12515,2010-12-21 15:43:00,1,1151.1,353,2,1,2,212,Lost
12516,2011-09-23 09:13:00,4,7945.86,78,3,3,4,334,Loyal Customers
12517,2011-11-11 14:04:00,5,7508.52,28,4,4,4,444,Champions
12518,2011-12-09 10:13:00,5,6170.67,1,5,4,4,544,Champions
12519,2011-10-07 09:26:00,2,2179.62,64,3,2,3,323,Others
12520,2011-09-21 15:23:00,5,7902.78,79,3,4,4,344,Loyal Customers
12521,2011-07-20 10:51:00,1,1799.04,143,3,1,2,312,Others
12522,2011-10-31 15:30:00,2,578.16,39,4,2,1,421,New Customers
12523,2011-11-20 12:55:00,23,13116.45,19,5,5,5,555,Champions
12524,2011-11-30 15:31:00,17,33378.33,9,5,5,5,555,Champions
12525,2010-07-29 16:08:00,3,2921.19,498,1,3,3,133,At Risk
12526,2011-12-09 12:09:00,3,3949.98,1,5,3,4,534,Loyal Customers
12527,2011-09-19 11:55:00,5,2206.53,82,3,4,3,343,Loyal Customers
12528,2011-11-30 14:40:00,6,5800.44,9,5,4,4,544,Champions
12529,2010-06-29 13:10:00,1,949.44,528,1,1,2,112,Lost
12530,2011-10-11 12:34:00,9,11277.78,60,3,5,5,355,Loyal Customers
12531,2011-11-25 11:12:00,2,5799.6,15,5,2,4,524,New Customers
12532,2011-11-09 13:47:00,1,1049.49,30,4,1,2,412,New Customers
12533,2010-03-22 10:56:00,2,4103.67,628,1,2,4,124,Lost
12534,2011-08-01 10:26:00,1,3267.54,131,3,1,3,313,Others
12535,2011-09-09 08:48:00,2,2149.05,92,3,2,3,323,Others
12536,2011-10-27 14:20:00,3,37805.49,43,4,3,5,435,Loyal Customers
12537,2010-10-27 08:36:00,1,2198.82,409,2,1,3,213,Lost
12538,2011-11-10 17:16:00,2,1921.35,29,4,2,3,423,New Customers
12539,2011-11-17 13:30:00,7,33644.25,22,4,4,5,445,Champions
12540,2011-11-20 11:31:00,33,66763.47,20,4,5,5,455,Champions
12541,2011-11-10 10:40:00,3,2943.54,30,4,3,3,433,Loyal Customers
12542,2010-08-12 19:12:00,2,1445.64,484,1,2,2,122,Lost
12543,2010-09-17 15:51:00,1,2940.75,448,1,1,3,113,Lost
12544,2011-11-03 16:15:00,1,1118.1,36,4,1,2,412,New Customers
12545,2011-09-25 13:39:00,2,3001.17,75,3,2,3,323,Others
12546,2011-10-24 12:09:00,2,3484.5,47,4,2,3,423,New Customers
12547,2011-05-26 12:38:00,3,1150.74,198,2,3,2,232,Others
12548,2011-06-26 15:35:00,1,285.6,166,3,1,1,311,Others
12549,2010-05-13 12:05:00,6,4727.04,576,1,4,4,144,At Risk
12550,2011-09-21 14:35:00,1,2894.49,79,3,1,3,313,Others
12551,2010-12-17 11:23:00,1,504.0,358,2,1,1,211,Lost
12552,2011-11-01 10:02:00,2,1313.46,39,4,2,2,422,New Customers
12553,2011-12-01 16:38:00,12,13826.25,8,5,5,5,555,Champions
12554,2010-09-17 12:29:00,1,1405.5,449,1,1,2,112,Lost
12555,2010-01-26 16:26:00,1,387.69,682,1,1,1,111,Lost
12556,2011-10-20 13:06:00,2,1811.13,50,4,2,2,422,New Customers
12557,2011-11-23 16:59:00,8,56148.42,16,5,4,5,545,Champions
