stock_code,description,total_revenue,total_units_sold
22423,REGENCY CAKESTAND 3 TIER,330590.32,26478
85123A,WHITE HANGING HEART T-LIGHT HOLDER,257546.2,94142
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995
47566,PARTY BUNTING,148318.28,28200
85099B,JUMBO BAG RED RETROSPOT,145961.83,77280
84879,ASSORTED COLOUR BIRD ORNAMENT,129324.49,80082
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,117760.29000000001,35084
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033
79321,CHILLI LIGHTS,80540.88,15841
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,71300.4,31409
